set_id,numero,origem_url
mee,2370,https://img.mypcards.com/img/2/2370/pokemon_mee_004/pokemon_mee_004_pt.jpg
mep,2369,https://img.mypcards.com/img/2/2369/pokemon_mep_001/pokemon_mep_001_pt.jpg
